| Age   | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ----- |
| 8–11  | 20.3 | 22.9 | 24.3 | 26.5 | 34.3 | 43.6 | 49.7 | 53.5 | 60.6  |
| 12–15 | 35.4 | 38.9 | 41   | 44.2 | 50.8 | 60.1 | 68.3 | 74.4 | 83.8  |
| 16–19 | 42   | 44.3 | 46.4 | 49.8 | 56.8 | 67.8 | 77.7 | 85.2 | 94    |
| 20–39 | 46   | 49   | 51.2 | 55.1 | 64.5 | 78.3 | 87.7 | 95.7 | 107.9 |
| 40–59 | 48   | 51.2 | 54   | 58.4 | 69.4 | 83.6 | 92.7 | 99.7 | 111.5 |
| 60–79 | 47.9 | 51.7 | 54.3 | 58.7 | 67.7 | 78.6 | 86.7 | 91.9 | 102   |
| 80+   | 41.9 | 45.1 | 47.6 | 50.8 | 58.8 | 67.8 | 72.8 | 75.9 | 84.9  |
| 20+   | 46.7 | 50   | 52.6 | 56.7 | 66.7 | 80   | 89.2 | 96.1 | 107   |
