| Age   | Sample size |
| ----- | ----------- |
| 2     | 505         |
| 3     | 478         |
| 4     | 536         |
| 5     | 485         |
| 6     | 278         |
| 7     | 264         |
| 8     | 254         |
| 9     | 263         |
| 10    | 281         |
| 11    | 259         |
| 12    | 192         |
| 13    | 171         |
| 14    | 171         |
| 15    | 170         |
| 16    | 181         |
| 17    | 181         |
| 18    | 162         |
| 19    | 149         |
| 20+   | 7145        |
| 20–29 | 1493        |
| 30–39 | 1375        |
| 40–49 | 1128        |
| 50–59 | 796         |
| 60–69 | 1079        |
| 70–79 | 752         |
| 80+   | 522         |
