| Age   | Sample size |
| ----- | ----------- |
| 2     | 494         |
| 3     | 555         |
| 4     | 525         |
| 5     | 554         |
| 6     | 269         |
| 7     | 262         |
| 8     | 233         |
| 9     | 265         |
| 10    | 238         |
| 11    | 243         |
| 12    | 200         |
| 13    | 190         |
| 14    | 190         |
| 15    | 164         |
| 16    | 179         |
| 17    | 152         |
| 18    | 147         |
| 19    | 139         |
| 20+   | 6412        |
| 20–29 | 1336        |
| 30–39 | 1261        |
| 40–49 | 955         |
| 50–59 | 701         |
| 60–69 | 906         |
| 70–79 | 740         |
| 80+   | 513         |
