Age,"Sample size"
"2 years",505
"3 years",478
"4 years",536
"5 years",485
"6 years",278
"7 years",264
"8 years",254
"9 years",263
"10 years",281
"11 years",259
"12 years",192
"13 years",171
"14 years",171
"15 years",170
"16 years",181
"17 years",181
"18 years",162
"19 years",149
"20 years and older",7145
"20–29 years",1493
"30–39 years",1375
"40–49 years",1128
"50–59 years",796
"60–69 years",1079
"70–79 years",752
"80 years and older",522
