Age,"Sample size"
"2 years",494
"3 years",555
"4 years",525
"5 years",554
"6 years",269
"7 years",262
"8 years",233
"9 years",265
"10 years",238
"11 years",243
"12 years",200
"13 years",190
"14 years",190
"15 years",164
"16 years",179
"17 years",152
"18 years",147
"19 years",139
"20 years and older",6412
"20–29 years",1336
"30–39 years",1261
"40–49 years",955
"50–59 years",701
"60–69 years",906
"70–79 years",740
"80 years and older",513
