Age,Mean
"7-74 years",75.3
"7-11 years",63.1
"12-17 years",68.6
"18-24 years",71
"25-34 years",73.8
"35-44 years",79.6
"45-54 years",82.6
"55-64 years",86.3
"65-74 years",84.2
"Age-adjusted value",75.7
