Age,"Standard deviation"
"7-17 years (education : head of the household)",10.5
"7-11 years (education : head of the household)",10.4
"12-17 years (education : head of the household)",9.7
"18-74 years",12.1
"18-24 years",9.9
"25-34 years",10.1
"35-44 years",12.6
"45-54 years",11.9
"55-64 years",11.8
"65-74 years",12
