| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 4.5  |
| 12–15              | 6.5  |
| 16–19              | 7    |
| 20–39              | 7.3  |
| 40–59              | 7.3  |
| 60–79              | 6.6  |
| 80+                | 5.9  |
| 20+                | 7.1  |
| 20+ (age-adjusted) | 7.1  |
