| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 12.1 |
| 12–15              | 20.3 |
| 16–19              | 27.2 |
| 20–39              | 29.8 |
| 40–59              | 30.9 |
| 60–79              | 29.7 |
| 80+                | 26.3 |
| 20+                | 30.1 |
| 20+ (age adjusted) | 30   |
