| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 12.1 |
| 12–15              | 18.1 |
| 16–19              | 20   |
| 20–39              | 21.7 |
| 40–59              | 22.5 |
| 60–79              | 21.3 |
| 80+                | 19.1 |
| 20+                | 21.8 |
| 20+ (age adjusted) | 21.8 |
