| Age               | Median |
| ----------------- | ------ |
| All ages          | 329    |
| 2–11 months       | 486    |
| 1–2 years         | 414    |
| 3–5 years         | 450    |
| 6–11 years        | 476    |
| 12–15 years       | 338    |
| 16–19 years       | 284    |
| 20–29 years       | 288    |
| 30–39 years       | 300    |
| 40–49 years       | 278    |
| 50–59 years       | 267    |
| 60–69 years       | 334    |
| 70–79 years       | 354    |
| 80 years and over | 396    |
