| Age               | Median |
| ----------------- | ------ |
| All ages          | 378    |
| 2–11 months       | 505    |
| 1–2 years         | 426    |
| 3–5 years         | 475    |
| 6–11 years        | 516    |
| 12–15 years       | 434    |
| 16–19 years       | 386    |
| 20–29 years       | 340    |
| 30–39 years       | 326    |
| 40–49 years       | 328    |
| 50–59 years       | 320    |
| 60–69 years       | 393    |
| 70–79 years       | 400    |
| 80 years and over | 429    |
