Age,Median
"All ages",443
"2–11 months",522
"1–2 years",429
"3–5 years",510
"6–11 years",547
"12–15 years",540
"16–19 years",472
"20–29 years",391
"30–39 years",386
"40–49 years",395
"50–59 years",390
"60–69 years",491
"70–79 years",457
"80 years and over",501
