Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",94.85,101.31,105.32,112.5,125.21,141.26,153.18,161.45,174.97
"12–15 years",131.64,141.89,149.26,158.68,176.19,194.69,206.04,213.09,222.6
"16–19 years",154.25,162.36,169.3,177.36,193.29,209.99,219.93,227.76,239.51
"20–29 years",162.42,171.15,176.17,186.01,201.87,218.64,226.9,233.12,243.83
"30–39 years",169.41,175.78,181.65,189.69,204.37,219.39,228.39,235.36,245.95
"40–49 years",171.42,180.3,184.33,192.6,208.9,223.25,233.4,238.53,247.82
"50–59 years",168.22,174.67,181.61,191.04,206.67,222.66,232.24,237.32,245.5
"60–69 years",162.6,171.55,177.08,186.28,202.92,220.42,228.27,234.08,246.77
"70–79 years",156.47,163.33,170.03,178.89,194.11,212.16,222.9,229.41,240.85
"80 years and over",135.28,147.93,154.22,162.28,181.42,201.99,210.62,217.37,225.16
