Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",25,25.5,25.8,26.8,27.8,29.4,30.3,30.8,31.8
"3 years",25.7,26.3,27,27.6,28.9,30.6,31.3,31.7,32.5
"4 years",26.6,27.2,27.8,28.5,30,31.5,32.2,33,35
"5 years",27.5,28,28.6,29.5,31.1,33,34.1,34.7,37.3
"6 years",*,29,30,30.8,32.8,35.5,37,39.5,*
"7 years",*,30.4,31.3,32.1,34,37,38.4,39.9,*
"8 years",*,31.7,32.4,33.5,35.7,39,41.4,43.1,*
"9 years",*,33.9,34.4,35.3,38.1,43,44.7,46.9,*
"10 years",*,34.2,35.6,37,39.7,43.8,46.5,46.6,*
"11 years",*,36.5,37.5,38.5,41.4,46.2,49,51.2,*
"12 years",*,*,39.7,40.9,43.6,48.8,50.7,*,*
"13 years",*,*,40,41.8,45.8,49.7,52.5,*,*
"14 years",*,*,43,44.7,47.9,50.6,54.8,*,*
"15 years",*,*,45.3,46.3,49.6,54.5,56,*,*
"16 years",*,*,45.4,46.2,49.5,52.9,56.3,*,*
"17 years",*,*,46.7,47.6,51.3,55.2,56.3,*,*
"18 years",*,*,43.8,45.7,50.2,53.7,55.7,*,*
"19 years",*,*,47,47.8,50.8,54.6,56.9,*,*
"20 years and older",44,45.6,46.7,48.2,51.3,54.7,56.8,58.3,61.2
"20–29 years",44.8,46.3,47.1,48.4,51.7,55.4,57.9,59.6,61.8
"30–39 years",45.7,47.2,48.1,49.5,52.4,56,57.8,59.2,63.3
"40–49 years",45,46.1,47.5,49.1,51.7,55,57.1,58.7,61.9
"50–59 years",44.1,46.1,47.1,48.6,51.6,54.2,56.2,57.3,59.1
"60–69 years",42.5,44.8,45.6,46.8,49.6,52.6,54.2,55.3,57.1
"70–79 years",41.7,42.8,43.6,45,47.7,50.8,52.7,53.8,56.1
"80 years and older",39.4,40.9,42.2,43.6,46,48.6,50.4,51.4,52.9
