Age,"Sample size"
"8–11 years",1465
"12–15 years",2318
"16–19 years",2027
"20–29 years",1378
"30–39 years",1372
"40–49 years",1570
"50–59 years",1200
"60–69 years",1419
"70–79 years",750
"80 years and over",594
"20 years and over (age-adjusted)",8283
