"Cause of death (both sexes, 20–24 years)","Death rate (per 100000)"
"All causes",90.2
"Accidents (unintentional injuries)",38
"Intentional self-harm (suicide)",17.3
"Assault (homicide)",13.4
"Malignant neoplasms",3.7
"Diseases of heart",2.7
"Congenital malformations, deformations and chromosomal abnormalities",0.9
"Diabetes mellitus",0.9
"Pregnancy, childbirth and the puerperium",0.6
"Chronic lower respiratory diseases",0.5
"Influenza and pneumonia",0.5
"All other causes",11.8
