"Cause of death (females, 20–24 years)","Death rate (per 100000)"
"All causes",48.5
"Accidents (unintentional injuries)",20.4
"Intentional self-harm (suicide)",6.1
"Assault (homicide)",4.1
"Malignant neoplasms",3.1
"Diseases of heart",2.1
"Pregnancy, childbirth and the puerperium",1.2
"Congenital malformations, deformations and chromosomal abnormalities",0.9
"Diabetes mellitus",0.7
"Influenza and pneumonia",0.5
"Cerebrovascular diseases",0.4
"All other causes",9.1
