| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 33.3 |
| 12–15              | 29.2 |
| 16–19              | 25.5 |
| 20–39              | 26.9 |
| 40–59              | 27.8 |
| 60–79              | 29.5 |
| 80+                | 30.5 |
| 20+                | 27.8 |
| 20+ (age adjusted) | 27.9 |
