| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.7               |
| 7-11 years  | 9.7                |
| 12-17 years | 10.3               |
| 18-24 years | 10.6               |
| 25-34 years | 10.8               |
| 35-44 years | 12.1               |
| 45-54 years | 13.8               |
| 55-64 years | 12.5               |
| 65-74 years | 12.8               |
