Age,"Standard deviation"
"7-74 years",13.9
"7-11 years",9.5
"12-17 years",10.7
"18-24 years",10.2
"25-34 years",10.1
"35-44 years",11.7
"45-54 years",15.1
"55-64 years",11.7
"65-74 years",13.2
