| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.5               |
| 7-11 years  | 9.7                |
| 12-17 years | 9.9                |
| 18-24 years | 10.4               |
| 25-34 years | 10.4               |
| 35-44 years | 12.3               |
| 45-54 years | 12.1               |
| 55-64 years | 13.2               |
| 65-74 years | 12.5               |
