Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,193,5.5,78,10696,123,7.4,40,15771,215,6.4,100
"Under 6 years",6871,10,0.6,1,3145,11,1,1,3128,9,0.7,1
"6–11 years",3134,26,1.2,12,1446,25,2,11,1439,27,1.5,12
"12–19 years",3121,70,3.1,47,1345,59,4.9,37,1470,73,3.8,50
"20–59 years",10940,266,9.7,144,3329,194,12.7,86,6710,283,10.3,165
"60 years and over",5039,219,6.5,139,1431,170,18.6,96,3024,237,7.6,160
