"Cause of death (males, 10–14 years)",Number
"All causes",1896
"Accidents (unintentional injuries)",510
"Intentional self-harm (suicide)",331
"Malignant neoplasms",221
"Assault (homicide)",140
"Congenital malformations, deformations and chromosomal abnormalities",106
"Chronic lower respiratory diseases",54
"Diseases of heart",43
"Influenza and pneumonia",30
"Cerebrovascular diseases",24
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",17
"All other causes",420
