| Age               | Median |
| ----------------- | ------ |
| All ages          | 3      |
| 2–11 months       | 1.1    |
| 1–2 years         | 2      |
| 3–5 years         | 2.4    |
| 6–11 years        | 2.6    |
| 12–15 years       | 2.7    |
| 16–19 years       | 2.6    |
| 20–29 years       | 2.9    |
| 30–39 years       | 3.2    |
| 40–49 years       | 3.4    |
| 50–59 years       | 3.5    |
| 60–69 years       | 3.7    |
| 70–79 years       | 3.5    |
| 80 years and over | 3.4    |
