| Age               | Median |
| ----------------- | ------ |
| All ages          | 3.8    |
| 2–11 months       | 1.2    |
| 1–2 years         | 2.1    |
| 3–5 years         | 2.7    |
| 6–11 years        | 3      |
| 12–15 years       | 3      |
| 16–19 years       | 3.7    |
| 20–29 years       | 3.9    |
| 30–39 years       | 4.6    |
| 40–49 years       | 4.3    |
| 50–59 years       | 4.7    |
| 60–69 years       | 4.3    |
| 70–79 years       | 4.2    |
| 80 years and over | 4.1    |
