Age,"percent of adult height"
Birth,30
"2 months",34
"3 months",36
"4 months",37
"5 months",38
"6 months",40
"7 months",40
"8 months",41
"9 months",42
"10 months",42
"11 months",43
"1 year",47
"2 years",52
"3 years",57
"4 years",60
"5 years",64
"6 years",68
"7 years",72
"8 years",75
"9 years",79
"10 years",81
"11 years",84
"12 years",89
"13 years",93
"14 years",97
"15 years",99
"16 years",100
"17 years",101
"18 years",101
"19 years",100
"20 years and over",100
"20–29 years",101
"30–39 years",101
"40–49 years",101
"50–59 years",101
"60–69 years",100
"70–79 years",98
"80 years and over",97
