| Age    | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ------ | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 3m–5m  | \*   | 13.2 | 13.5 | 13.9 | 14.5 | 15.4 | 15.7 | 16   | \*   |
| 6m–8m  | \*   | 13.8 | 14   | 14.4 | 15.2 | 16.1 | 16.6 | 17   | \*   |
| 9m–11m | \*   | 14.1 | 14.5 | 14.8 | 15.7 | 16.4 | 16.8 | 17.1 | \*   |
| 1      | 14.4 | 14.8 | 15   | 15.4 | 16   | 16.9 | 17.3 | 17.7 | 18.3 |
| 2      | 14.8 | 15.1 | 15.4 | 15.6 | 16.3 | 17.2 | 17.8 | 18   | 18.5 |
| 3      | 15   | 15.4 | 15.7 | 15.9 | 16.8 | 17.7 | 18.2 | 18.6 | 19   |
| 4      | 15.3 | 15.6 | 16   | 16.4 | 17.1 | 18   | 18.4 | 19   | 19.5 |
| 5      | 15.5 | 16   | 16.2 | 16.8 | 17.7 | 18.6 | 19.3 | 19.6 | 20.7 |
| 6      | \*   | 16.4 | 16.8 | 17.1 | 18.4 | 19.6 | 20.5 | 22.7 | \*   |
| 7      | \*   | 17.1 | 17.6 | 17.9 | 18.9 | 20.3 | 21.3 | 21.7 | \*   |
| 8      | \*   | 17.5 | 18   | 18.4 | 19.6 | 21.8 | 23.4 | 24.7 | \*   |
| 9      | \*   | 18.3 | 18.6 | 19.2 | 20.7 | 24.2 | 25.3 | 27   | \*   |
| 10     | \*   | 18.7 | 19.2 | 20.1 | 22   | 25   | 26.6 | 27.5 | \*   |
| 11     | \*   | 19.7 | 20   | 21.1 | 22.7 | 25.5 | 27.4 | 28.1 | \*   |
| 12     | \*   | \*   | 21.6 | 23.1 | 24.1 | 27.3 | 28.5 | \*   | \*   |
| 13     | \*   | \*   | 22   | 23.6 | 24.6 | 27.8 | 28.6 | \*   | \*   |
| 14     | \*   | \*   | 23.9 | 24.3 | 27   | 29.8 | 30.6 | \*   | \*   |
| 15     | \*   | \*   | 24.9 | 25.9 | 27.5 | 31.1 | 33.3 | \*   | \*   |
| 16     | \*   | \*   | 25.6 | 26.6 | 28.4 | 31.2 | 32.6 | \*   | \*   |
| 17     | \*   | \*   | 26.7 | 27.7 | 30   | 33.1 | 35.3 | \*   | \*   |
| 18     | \*   | \*   | 25.9 | 27.4 | 29.6 | 31.8 | 34.5 | \*   | \*   |
| 19     | \*   | \*   | 27.8 | 28.6 | 30.8 | 33.7 | 35.8 | \*   | \*   |
| 20+    | 27.3 | 28.5 | 29.2 | 30.4 | 32.8 | 35.3 | 36.7 | 37.6 | 39.5 |
| 20–29  | 27   | 27.9 | 28.7 | 29.6 | 32.3 | 34.6 | 36.2 | 37.4 | 38.9 |
| 30–39  | 27.9 | 29   | 29.7 | 31   | 33.3 | 35.6 | 37   | 38.2 | 39.9 |
| 40–49  | 28.3 | 29.5 | 30.2 | 31.2 | 33.3 | 35.7 | 37.5 | 38.4 | 40.8 |
| 50–59  | 27.9 | 29.2 | 30   | 31.1 | 33.7 | 35.6 | 37.2 | 37.9 | 39.3 |
| 60–69  | 26.8 | 28.4 | 29.2 | 30.6 | 32.7 | 35.2 | 36.2 | 37   | 37.8 |
| 70–79  | 26.5 | 27.5 | 28.2 | 29.3 | 31.3 | 33.4 | 35.1 | 36.1 | 37.3 |
| 80+    | 23.5 | 25.5 | 26.2 | 27.3 | 29.5 | 31.5 | 32.6 | 33.3 | 35.3 |
