Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,88.13,16.1,66.07,69.5,72.36,76.48,85.96,97.65,104.4,109.66,119.45
"12–15 years",2264,111.39,21.99,78.2,84.21,88.96,95.46,110.14,124.11,132.73,139.07,149.34
"16–19 years",2309,130.72,20.01,101.12,106.71,111.14,117.83,128.65,140.85,149.12,155.93,167.81
"20–29 years",1530,135.17,22.43,102.8,109.91,113.63,120.08,132.36,147,155.78,163.19,176.5
"30–39 years",1450,134.07,21.91,102.76,108.05,112.66,119.1,131.34,146.38,155.6,162.63,173.04
"40–49 years",1549,132.15,21.39,100.52,106.27,111.02,117.01,129.8,145.28,153.65,158.91,168.8
"50–59 years",1187,129.69,21.35,97.57,103.41,108.24,115.01,127.86,142.44,150.43,157.39,167.71
"60–69 years",1350,128.38,20.89,96.17,103.39,107.39,113.73,126.61,142.16,149.93,155.35,163.88
"70–79 years",825,124.03,21.88,91.18,96.87,101.47,108.93,122.63,137.71,147.09,152.69,161.27
"80 years and over",501,116.99,19.21,87.94,93.15,97.52,102.67,116.83,130.17,136.62,141.43,148.92
"20 years and over (age-adjusted)",8392,130.97,,,,,,,,,,
