Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,82.2,14.22,61.23,65.26,67.72,72.23,80.87,90.87,97.56,101.17,108.91
"12–15 years",2264,114.81,23.3,79.1,84.46,89.41,97.84,114.31,131.19,138.45,143.91,153.16
"16–19 years",2309,141.67,20.11,110.55,117.24,121.6,128.23,140.39,153.86,162.4,167.69,176.3
"20–29 years",1530,151.52,21,120.72,126.41,130.45,137.6,149.95,163.68,171.43,177.8,187.5
"30–39 years",1450,156.34,22.09,121.71,129.77,134.57,141.99,154.37,169.55,178.12,184.05,195
"40–49 years",1549,159.56,21.67,126.86,132.85,137.54,145.06,158.26,173.29,180.71,186.66,196.43
"50–59 years",1187,157.34,22.44,121.72,130.45,135.73,142.99,155.84,172.2,181.71,187.15,194.04
"60–69 years",1350,154.84,24.09,116.38,125.49,130.95,138.25,153.14,171.16,179.92,185.27,195.88
"70–79 years",825,148.66,23.73,111.28,118.49,124.45,131.85,147.55,163.31,173.53,180.32,189.88
"80 years and over",501,137.69,21.55,100.95,108.46,114.42,121.9,137.96,152.76,159.38,165.49,172.3
"20 years and over (age-adjusted)",8392,154.65,,,,,,,,,,
