Age,Mean
"8–11 years",0.581
"12–15 years",0.715
"16–19 years",0.855
"20–29 years",0.88
"30–39 years",0.897
"40–49 years",0.919
"50–59 years",0.918
"60–69 years",0.945
"70–79 years",0.926
"80 years and over",0.906
"20 years and over (age-adjusted)",0.91
