Age,Mean
"8–11 years",130.38
"12–15 years",180.92
"16–19 years",198.92
"20–29 years",206.65
"30–39 years",210.39
"40–49 years",214.08
"50–59 years",211.75
"60–69 years",208.68
"70–79 years",200.72
"80 years and over",185.97
"20 years and over (age-adjusted)",208.6
