Age,"Sample size"
"8–11 years",1082
"12–15 years",1780
"16–19 years",1513
"20–39 years",2043
"40–59 years",2049
"60–79 years",1846
"80 years and older",594
"20 years and older (crude)",6532
"Age 20 years and older, age–adjusted..."
