Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,86.43,18.3,60.82,65.18,67.93,72.85,84.04,97.66,105.81,111.35,119.03
"12–15 years",2318,119.4,18.47,88.58,96.35,100.11,106.3,119.15,132.47,138.8,143.25,149.21
"16–19 years",2027,130.77,17.96,102.81,107.94,111.95,118.69,129.78,141.92,149.01,154.39,161.24
"20–29 years",1378,137.06,19.42,108.52,113.16,116.65,123.8,135.89,148.32,156.52,162.34,170.76
"30–39 years",1372,141.8,20.47,111.95,116.12,120.11,127.11,140.78,154.07,162.58,167.81,175.95
"40–49 years",1570,144.7,19.49,114.15,120.08,124.81,131.7,143.82,156.43,164.68,169.92,177.91
"50–59 years",1200,144.35,19.58,113.57,119.98,124.29,131.68,143.67,156.97,163.38,169.18,176.24
"60–69 years",1419,142.5,21.76,107.41,115.4,120.22,128.22,142.11,157.1,164.79,170.26,177.82
"70–79 years",750,139.41,21.81,103.65,111.95,117.07,124.88,139.61,153.36,161.19,167.46,176.61
"80 years and over",594,128.47,21.18,94.87,102.7,106.21,113.58,128.14,142.23,149.93,155.61,162.93
"20 years and over (age-adjusted)",8283,141.2,,,,,,,,,,
