"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",4160,100,20.9
"Accidents (unintentional injuries)",1588,38.2,8
"Malignant neoplasms",525,12.6,2.6
"Intentional self–harm (suicide)",300,7.2,1.5
"Assault (homicide)",231,5.6,1.2
"Congenital malformations, deformations and chromosomal abnormalities",201,4.8,1
"Diseases of heart",165,4,0.8
"Chronic lower respiratory diseases",91,2.2,0.5
"Cerebrovascular diseases",51,1.2,0.3
"Influenza and pneumonia",40,1,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior.",37,0.9,0.2
"All other causes",931,22.4,4.7
