| Age         | Standard error of rate |
| ----------- | ---------------------- |
| 12-17 years | 0.78                   |
| 18-74 years | 0.57                   |
| 18-24 years | 0.66                   |
| 25-34 years | 0.87                   |
| 35-44 years | 1.05                   |
| 45-54 years | 1.54                   |
| 55-64 years | 1.81                   |
| 65-74 years | 1.62                   |
