Age,"Standard error of rate"
"12-17 years",1.1
"18-74 years",0.82
"18-24 years",1.45
"25-34 years",1.56
"35-44 years",2.03
"45-54 years",1.69
"55-64 years",2.29
"65-74 years",1.5
