Age,"Standard error"
"All ages"
"2–11 months",0.008
"1–2 years"
"3–5 years",0.016
"6–11 years"
"12–15 years",0.017
"16–19 years"
"20–29 years",0.02
"30–39 years"
"40–49 years",0.026
"50–59 years"
"60–69 years",0.031
"70–79 years"
"80 years and over",596,0.12,0.021
