"Cause of death (male, 15–19 years)",Number,"Percent of total deaths","Death rate"
"All causes",7361,100,68.5
"Accidents (unintentional injuries)",2464,33.5,22.9
"Intentional self-harm (suicide)",1699,23.1,15.8
"Assault (homicide)",1615,21.9,15
"Malignant neoplasms",352,4.8,3.3
"Diseases of heart",169,2.3,1.6
"Congenital malformations, deformations and chromosomal abnormalities",112,1.5,1
"Chronic lower respiratory diseases",41,0.6,0.4
"Influenza and pneumonia",37,0.5,0.3
"Cerebrovascular diseases",36,0.5,0.3
"Legal intervention",32,0.4,0.3
"All other causes",804,10.9,7.5
