| Age               | Median |
| ----------------- | ------ |
| All ages          | 2.9    |
| 2–11 months       | 2.2    |
| 1–2 years         | 2.8    |
| 3–5 years         | 2.9    |
| 6–11 years        | 3.2    |
| 12–15 years       | 3.2    |
| 16–19 years       | 3.1    |
| 20–29 years       | 2.9    |
| 30–39 years       | 3      |
| 40–49 years       | 3      |
| 50–59 years       | 2.9    |
| 60–69 years       | 2.6    |
| 70–79 years       | 2.5    |
| 80 years and over | 2.6    |
