Age,Mean
"8–11 years",34.7
"12–15 years",56.4
"16–19 years",72.1
"20–39 years",80.9
"40–59 years",84.9
"60–79 years",82.1
"80 years and older",71.4
"20 years and older (crude)",82.4
"20 years and older (age adjusted)",82.2
