| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 18.3           |
| 12–15 | 18.47          |
| 16–19 | 17.96          |
| 20–29 | 19.42          |
| 30–39 | 20.47          |
| 40–49 | 19.49          |
| 50–59 | 19.58          |
| 60–69 | 21.76          |
| 70–79 | 21.81          |
| 80+   | 21.18          |
