Age,"Standard error"
"8–11 years",18.3
"12–15 years",18.47
"16–19 years",17.96
"20–29 years",19.42
"30–39 years",20.47
"40–49 years",19.49
"50–59 years",19.58
"60–69 years",21.76
"70–79 years",21.81
"80 years and over",21.18
