Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",10142,72,0.2,53,65,72,80,91
"18–39 years",4021,70,0.2,51,62,70,77,88
"40–59 years",2924,77,0.3,60,70,76,83,94
"60 years and over",3197,69,0.3,49,61,69,77,89
