| Age               | Median |
| ----------------- | ------ |
| All ages          | 54     |
| 2–11 months       | 51     |
| 1–2 years         | 25     |
| 3–5 years         | 32     |
| 6–11 years        | 40     |
| 12–15 years       | 47     |
| 16–19 years       | 55     |
| 20–29 years       | 60     |
| 30–39 years       | 67     |
| 40–49 years       | 65     |
| 50–59 years       | 65     |
| 60–69 years       | 57     |
| 70–79 years       | 51     |
| 80 years and over | 44     |
