| Age               | Median |
| ----------------- | ------ |
| All ages          | 59     |
| 2–11 months       | 52     |
| 1–2 years         | 26     |
| 3–5 years         | 32     |
| 6–11 years        | 44     |
| 12–15 years       | 50     |
| 16–19 years       | 63     |
| 20–29 years       | 66     |
| 30–39 years       | 79     |
| 40–49 years       | 70     |
| 50–59 years       | 72     |
| 60–69 years       | 61     |
| 70–79 years       | 53     |
| 80 years and over | 48     |
