"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",360226,100,4900.9
"Diseases of heart",110367,30.6,1501.5
"Malignant neoplasms",79192,22,1077.4
"Cerebrovascular diseases",33074,9.2,450
"Chronic lower respiratory diseases",23884,6.6,324.9
"Diabetes mellitus",12446,3.5,169.3
"Alzheimer’s disease.",11025,3.1,150
"Influenza and pneumonia",10070,2.8,137
"Nephritis, nephrotic syndrome and nephrosis",6245,1.7,85
"Accidents (unintentional injuries)",5695,1.6,77.5
Septicemia,5456,1.5,74.2
"All other causes",62772,17.4,854
