"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",214742,100,16605.4
"Diseases of heart",78896,36.7,6100.8
"Malignant neoplasms",33260,15.5,2571.9
"Cerebrovascular diseases",18212,8.5,1408.3
"Chronic lower respiratory diseases",11876,5.5,918.3
"Influenza and pneumonia",10945,5.1,846.3
"Alzheimer’s disease.",6406,3,495.4
"Nephritis, nephrotic syndrome and nephrosis",4671,2.2,361.2
"Accidents (unintentional injuries)",4413,2.1,341.2
"Diabetes mellitus",4234,2,327.4
"Pneumonitis due to solids and liquids",3387,1.6,261.9
"All other causes",38442,17.9,2972.6
