| Age                | Mean  |
| ------------------ | ----- |
| 8–11               | 0.567 |
| 12–15              | 0.699 |
| 16–19              | 0.827 |
| 20–29              | 0.867 |
| 30–39              | 0.877 |
| 40–49              | 0.879 |
| 50–59              | 0.867 |
| 60–69              | 0.853 |
| 70–79              | 0.824 |
| 80+                | 0.789 |
| 20+ (age-adjusted) | 0.863 |
