Age,Mean
"8–11 years",0.567
"12–15 years",0.699
"16–19 years",0.827
"20–29 years",0.867
"30–39 years",0.877
"40–49 years",0.879
"50–59 years",0.867
"60–69 years",0.853
"70–79 years",0.824
"80 years and over",0.789
"20 years and over (age-adjusted)",0.863
