Age,Mean
"8–11 years",0.554
"12–15 years",0.679
"16–19 years",0.719
"20–29 years",0.731
"30–39 years",0.74
"40–49 years",0.739
"50–59 years",0.716
"60–69 years",0.682
"70–79 years",0.64
"80 years and over",0.597
"20 years and over (age-adjusted)",0.713
