"Cause of death (both sexes, 35–44 years)",Number,"Percent of total deaths","Death rate"
"All causes",82986,100,199.2
"Accidents (unintentional injuries)",24070,29,57.8
"Malignant neoplasms",10695,12.9,25.7
"Diseases of heart",10499,12.7,25.2
"Intentional self-harm (suicide)",7525,9.1,18.1
"Assault (homicide)",3446,4.2,8.3
"Chronic liver disease and cirrhosis",3417,4.1,8.2
"Diabetes mellitus",2228,2.7,5.3
"Cerebrovascular diseases",1741,2.1,4.2
"Influenza and pneumonia",951,1.1,2.3
Septicemia,812,1,1.9
"All other causes",17602,21.2,42.3
