Age,Mean
"8–11 years",1385.43
"12–15 years",1892.79
"16–19 years",2237.82
"20–29 years",2287.04
"30–39 years",2282.97
"40–49 years",2302.5
"50–59 years",2278.18
"60–69 years",2266.41
"70–79 years",2213.22
"80 years and over",2128
"20 years and over (age-adjusted)",2272.49
