Age,"Standard error"
"8–11 years",0.085
"12–15 years",0.1
"16–19 years",0.098
"20–29 years",0.092
"30–39 years",0.098
"40–49 years",0.106
"50–59 years",0.107
"60–69 years",0.109
"70–79 years",0.1
"80 years and over",0.102
