Age,"Standard error"
"Under 1 year",0.9
"1 year",0.7
"2–3 years",0.4
"4–5 years",0.5
"6–8 years",0.3
"9–11 years",0.4
"12–15 years",0.3
"16–19 years",0.3
"20–39 years",0.2
"40–59 years",0.2
"60–79 years",0.3
"80 years and over",0.7
