Age,"Standard deviation"
"2–2.49 years",1.29
"2.5–2.99 years",1.2
"3.0–3.49 years",1.24
"3.5–3.99 years",1.39
"4.0–4.49 years",1.39
"4.5–4.99 years",1.34
"5.0–5.49 years",1.6
"5.5–5.99 years",1.65
"6.0–6.49 years",1.61
"6.5–6.99 years",1.95
"7.0–7.49 years",1.72
"7.5–7.99 years",1.74
"8.0–8.49 years",1.98
"8.5–8.99 years",2.24
"9.0–9.49 years",2.62
"9.5–9.99 years",2.77
"10.0–10.49 years",2.37
"10.5–10.99 years",2.88
"11.0–11.49 years",2.91
"11.5–11.99 years",3.76
"12.0–12.49 years",2.95
"12.5–12.99 years",3.05
"13.0–13.49 years",3.14
"13.5–13.99 years",3.73
"14.0–14.49 years",3.09
"14.5–14.99 years",3.35
"15.0–15.49 years",3.12
"15.5–15.99 years",3.24
"16.0–16.49 years",3.25
"16.5–16.99 years",3.28
"17.0–17.49 years",3.46
"17.5–17.99 years",3.36
"18.0–18.49 years",4.12
"18.5–18.99 years",3.53
"19.0–19.49 years",3.28
"19.5–19.99 years",3.85
