Age,"Standard deviation"
"2–2.49 years",1.51
"2.5–2.99 years",1.41
"3.0–3.49 years",1.55
"3.5–3.99 years",1.41
"4.0–4.49 years",1.54
"4.5–4.99 years",2.05
"5.0–5.49 years",1.81
"5.5–5.99 years",2.02
"6.0–6.49 years",1.7
"6.5–6.99 years",1.78
"7.0–7.49 years",1.8
"7.5–7.99 years",2.06
"8.0–8.49 years",2.07
"8.5–8.99 years",2.68
"9.0–9.49 years",2.66
"9.5–9.99 years",3.05
"10.0–10.49 years",2.87
"10.5–10.99 years",2.81
"11.0–11.49 years",3.24
"11.5–11.99 years",3.59
"12.0–12.49 years",3.28
"12.5–12.99 years",3.59
"13.0–13.49 years",3.8
"13.5–13.99 years",3.95
"14.0–14.49 years",3.95
"14.5–14.99 years",3.68
"15.0–15.49 years",3.63
"15.5–15.99 years",3.55
"16.0–16.49 years",3.87
"16.5–16.99 years",3.97
"17.0–17.49 years",4.51
"17.5–17.99 years",4.31
"18.0–18.49 years",4.16
"18.5–18.99 years",3.28
"19.0–19.49 years",4.14
"19.5–19.99 years",4.72
