Age,Median
"All ages",95
"2–11 months",–
"1–2 years",–
"3–5 years",4
"6–11 years",13
"12–15 years",48
"16–19 years",67
"20–29 years",106
"30–39 years",176
"40–49 years",239
"50–59 years",238
"60–69 years",209
"70–79 years",164
"80 years and over",97
