| Age               | Mean |
| ----------------- | ---- |
| All ages          | 2340 |
| 2–11 months       | 1888 |
| 1–2 years         | 1309 |
| 3–5 years         | 1183 |
| 6–11 years        | 1420 |
| 12–15 years       | 1843 |
| 16–19 years       | 1767 |
| 20–29 years       | 2350 |
| 30–39 years       | 2663 |
| 40–49 years       | 2542 |
| 50–59 years       | 2900 |
| 60–69 years       | 3149 |
| 70–79 years       | 3005 |
| 80 years and over | 3283 |
