Age,Number
"All ages",105
"Under 1 year",1
"1-4 years",7
"5-9 years",2
"10-14 years",3
"15-19 years",10
"20-24 years",9
"25-29 years",9
"30-34 years",13
"35-39 years",15
"40-44 years",13
"45-49 years",7
"50-54 years",2
"55-59 years",6
"60-64 years",-
"65-69 years",4
"70-74 years",3
"75-79 years",1
"80-84 years",-
"85 years and over",-
"Age not stated",-
