Age,Number
"All ages",776
"Under 1 year",1
"1-4 years",18
"5-9 years",18
"10-14 years",49
"15-19 years",107
"20-24 years",95
"25-29 years",74
"30-34 years",57
"35-39 years",75
"40-44 years",78
"45-49 years",38
"50-54 years",40
"55-59 years",36
"60-64 years",14
"65-69 years",24
"70-74 years",17
"75-79 years",17
"80-84 years",7
"85 years and over",11
"Age not stated",-
