Age,Median
"All ages",24
"2–11 months",15
"1–2 years",18
"3–5 years",21
"6–11 years",26
"12–15 years",28
"16–19 years",30
"20–29 years",29
"30–39 years",27
"40–49 years",25
"50–59 years",23
"60–69 years",19
"70–79 years",18
"80 years and over",17
