| Age               | Median |
| ----------------- | ------ |
| All ages          | 20     |
| 2–11 months       | 14     |
| 1–2 years         | 17     |
| 3–5 years         | 20     |
| 6–11 years        | 23     |
| 12–15 years       | 24     |
| 16–19 years       | 23     |
| 20–29 years       | 23     |
| 30–39 years       | 23     |
| 40–49 years       | 21     |
| 50–59 years       | 19     |
| 60–69 years       | 16     |
| 70–79 years       | 15     |
| 80 years and over | 15     |
