Age,Median
"All ages",29
"2–11 months",16
"1–2 years",19
"3–5 years",21
"6–11 years",28
"12–15 years",31
"16–19 years",38
"20–29 years",36
"30–39 years",34
"40–49 years",30
"50–59 years",29
"60–69 years",23
"70–79 years",21
"80 years and over",20
